程序号	程序名称	最终状态	条码	拧紧时间戳记	数据包戳记	站点名称	站点ID	工具类型	产品面号	点位号	最终扭力	最终扭力状态	最终角度	最终角度状态
3	             cw2000degree	NG	                         	1990-01-01:03:16:13	2275	站点1	-1	PF4000	108	1	0.14	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:16:21	2276	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:16:23	2277	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:16:25	2278	站点1	-1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:16:31	2279	站点1	-1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:16:34	2280	站点1	-1	PF4000	108	6	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:16:37	2281	站点1	-1	PF4000	108	7	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:16:43	2282	站点1	-1	PF4000	108	8	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:17:45	2283	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:17:47	2284	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:17:48	2285	站点1	-1	PF4000	108	3	0.03	OK	0	LOW
4	                         	NG	                         	1990-01-01:03:17:57	2286	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:17:59	2287	站点1	-1	PF4000	108	4	0.14	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:18:02	2288	站点1	-1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:18:05	2289	站点1	-1	PF4000	108	6	0.14	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:24:29	2290	站点1	1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:24:43	2291	站点1	1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:24:45	2292	站点1	1	PF4000	108	3	0.12	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:24:48	2293	站点1	1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:24:52	2294	站点1	1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:24:54	2295	站点1	1	PF4000	108	6	0.14	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:24:56	2296	站点1	1	PF4000	108	7	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:25:02	2297	站点1	1	PF4000	108	8	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:25:14	2298	站点1	1	PF4000	108	9	0.14	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:27:01	2299	站点1	1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:27:03	2300	站点1	1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:27:05	2301	站点1	1	PF4000	108	3	0.12	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:27:08	2302	站点1	1	PF4000	108	4	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:27:10	2303	站点1	1	PF4000	108	5	0.07	OK	161	LOW
3	             cw2000degree	NG	                         	1990-01-01:03:27:17	2304	站点1	1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:27:19	2305	站点1	1	PF4000	108	6	0.12	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:27:21	2306	站点1	1	PF4000	108	7	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:27:24	2307	站点1	1	PF4000	108	8	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:28:28	2308	站点1	1	PF4000	108	9	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:29:04	2309	站点1	1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:29:07	2310	站点1	1	PF4000	108	2	0.12	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:29:09	2311	站点1	1	PF4000	108	3	0.12	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:29:11	2312	站点1	1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:29:13	2313	站点1	1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:29:15	2314	站点1	1	PF4000	108	6	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:29:18	2315	站点1	1	PF4000	108	7	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:29:22	2316	站点1	1	PF4000	108	8	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:30:41	2317	站点1	1	PF4000	108	1	0.13	OK	1999	OK
