程序号	程序名称	最终状态	条码	拧紧时间戳记	数据包戳记	站点名称	站点ID	工具类型	产品面号	点位号	最终扭力	最终扭力状态	最终角度	最终角度状态	操作员	数据生成时间
3	             cw2000degree	OK	                         	1990-01-01:01:25:47	2481	判断	3	PF4000	11	1	0.13	OK	1999	OK	Developr	2024-03-23 14:41:25
3	             cw2000degree	OK	                         	1990-01-01:01:26:18	2482	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 14:41:56
3	             cw2000degree	OK	                         	1990-01-01:02:06:00	2489	判断	3	PF4000	11	1	0.12	OK	1999	OK	Developr	2024-03-23 15:21:38
5	                       33	OK	                         	1990-01-01:02:06:03	2490	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 15:21:42
5	                       33	OK	                         	1990-01-01:02:06:16	2491	判断	3	PF4000	11	1	0.13	OK	1999	OK	Developr	2024-03-23 15:21:55
5	                       33	OK	                         	1990-01-01:02:06:20	2492	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 15:21:58
5	                       33	OK	                         	1990-01-01:02:07:00	2493	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 15:22:38
3	             cw2000degree	OK	                         	1990-01-01:02:08:50	2494	判断	3	PF4000	11	1	0.13	OK	1999	OK	Developr	2024-03-23 15:24:28
5	                       33	OK	                         	1990-01-01:02:08:53	2495	判断	3	PF4000	11	2	0.11	OK	1999	OK	Developr	2024-03-23 15:24:31
3	             cw2000degree	NG	                         	1990-01-01:03:02:57	2496	判断	3	PF4000	11	1	0.07	OK	140	LOW	Developr	2024-03-23 16:18:35
3	             cw2000degree	NG	                         	1990-01-01:03:02:57	2496	判断	3	PF4000	11	1	0.07	OK	140	LOW	Developr	2024-03-23 16:18:35
3	             cw2000degree	OK	                         	1990-01-01:03:03:04	2497	判断	3	PF4000	11	1	0.12	OK	1997	OK	Developr	2024-03-23 16:18:42
3	             cw2000degree	OK	                         	1990-01-01:03:04:32	2498	判断	3	PF4000	11	1	0.12	OK	1999	OK	Developr	2024-03-23 16:20:10
5	                       33	NG	                         	1990-01-01:03:05:09	2499	判断	3	PF4000	11	2	0.13	OK	1999	OK	Developr	2024-03-23 16:20:47
5	                       33	NG	                         	1990-01-01:03:05:28	2500	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 16:21:06
3	             cw2000degree	OK	                         	1990-01-01:03:06:17	2501	判断	3	PF4000	11	1	0.13	OK	1999	OK	Developr	2024-03-23 16:21:56
5	                       33	NG	                         	1990-01-01:03:06:40	2502	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 16:22:18
3	             cw2000degree	NG	                         	1990-01-01:03:17:01	2508	判断	3	PF4000	11	1	0.12	OK	1999	OK	Developr	2024-03-23 16:32:39
2	             cw1040degree	OK	                         	1990-01-01:03:17:33	2509	判断	3	PF4000	11	1	0.12	OK	1039	OK	Developr	2024-03-23 16:33:11
3	             cw2000degree	OK	                         	1990-01-01:03:17:34	2510	判断	3	PF4000	11	2	0.12	OK	1999	OK	Developr	2024-03-23 16:33:12
2	             cw1040degree	OK	                         	1990-01-01:03:17:58	2511	判断	3	PF4000	11	1	0.1	OK	1039	OK	Developr	2024-03-23 16:33:36
3	             cw2000degree	OK	                         	1990-01-01:03:18:00	2512	判断	3	PF4000	11	2	0.13	OK	1999	OK	Developr	2024-03-23 16:33:38
